Brand,Model,Model_year,Milage,Fuel_type,Engine,Transmission,Ext_col,Int_col,Accident,Clean_title,Price
Volvo,Sprinter 2500 Standard Roof,2018,98888,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,Gray,Black,None reported,Yes,61000
Volvo,Civic EX,2014,98700,Gasoline,143.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,Gray,None reported,Yes,15000
Volvo,Land Cruiser Base,1994,98658,–,–,A/T,Green,Beige,None reported,Yes,9000
Volvo,EcoSport SES,2019,98650,Gasoline,166.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,12000
Volvo,SX4 Base,2013,98600,Gasoline,150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Orange,Gray,At least 1 accident or damage reported,Yes,6900
Volvo,Bronco Badlands Advanced,2022,98528,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,69999
Volvo,911 Carrera S,2015,98527,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,84999
Volvo,F-PACE 35t Premium,2017,98500,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,26000
Volvo,F-250 Lariat,2011,98413,Diesel,400.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,29800
Volvo,Wrangler Unlimited Rubicon,2020,98400,Gasoline,270.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,53000
Volvo,XF Premium,2011,98385,Gasoline,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,12400
Volvo,F-150 Lariat,2020,98313,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,46995
Volvo,Cruze LS,2011,98300,Gasoline,136.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,7000
Volvo,Town & Country Touring-L,2013,98231,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,9500
Volvo,Q7 55 Prestige,2019,98200,Gasoline,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,39900
Volkswagen,911 Carrera,2022,98000,Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,131000
Volkswagen,F-150 XL,2019,98000,Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Black,None reported,Yes,33700
Volkswagen,M240 i xDrive,2022,98000,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Purple,Black,None reported,Yes,55000
Volkswagen,Prius Two,2014,98000,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Red,Gray,At least 1 accident or damage reported,Yes,13310
Volkswagen,Expedition Max XLT,2018,98000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Beige,None reported,Yes,34995
Volkswagen,Tundra Grade,2013,98000,Gasoline,310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,20800
Volkswagen,Edge Titanium,2016,98000,Gasoline,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,16000
Volvo,Envision Essence,2021,98000,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Dark Moon Blue Metallic,Ebony,None reported,Yes,33290
Volkswagen,QX60 Base,2016,97726,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,17500
Volkswagen,4Runner TRD Pro,2021,97724,Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Lunar Rock,Black / Graphite,None reported,,52590
Volkswagen,Wrangler Unlimited Sahara,2019,97700,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,44500
Volkswagen,Model 3 Long Range,2021,97700,,Electric,1-Speed Automatic,White,Black,None reported,,35999
Volkswagen,Corvette Stingray w/2LT,2023,97615,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,101999
Volkswagen,Durango GT,2020,97579,Gasoline,295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,40000
Volkswagen,IS 250 Base,2010,97500,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,10700
Volkswagen,Transit Connect XLT,2012,97496,Gasoline,136.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,At least 1 accident or damage reported,Yes,8500
Volkswagen,Escalade Base,2007,97395,Gasoline,403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,9999
Volkswagen,S-Class S 550 4MATIC,2016,97300,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,White,None reported,Yes,34900
Volkswagen,Transit Connect XLT,2016,97146,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,15500
Volkswagen,Ram 3500 Quad Cab DRW,2000,97097,–,–,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10000
Volkswagen,Altima 2.5 S,2015,97000,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,11600
Volkswagen,Blazer 1LT,2019,97000,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Nightfall Gray Metallic,Jet Black,None reported,Yes,26990
Volkswagen,G37 x,2013,96800,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,14500
Volkswagen,A6 2.0T Sport,2018,96800,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,23750
Volkswagen,CT 200h Premium,2014,96680,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,16000
Volkswagen,Rogue SL,2017,96653,Gasoline,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,Yes,13000
Volkswagen,Countryman Cooper S ALL4,2016,96600,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,12750
Volkswagen,Beetle 2.0T Final Edition SE,2019,96541,Gasoline,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,32750
Volkswagen,Sprinter 2500 Standard Roof,2023,96476,Diesel,211.0HP 2.0L 4 Cylinder Engine Diesel Fuel,9-Speed A/T,White,Black,None reported,Yes,65000
Volkswagen,M5 Base,2000,96473,Gasoline,400.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,26900
Volkswagen,Impreza 2.0i Premium,2018,96419,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Beige,None reported,Yes,26000
Volkswagen,Juke SL,2012,96400,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,9950
Volkswagen,Atlas 3.6L SE w/Technology,2018,96343,Gasoline,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,24999
Volkswagen,330 i xDrive,2017,96275,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,21500
Volkswagen,GLA-Class GLA 45 AMG,2015,96273,Gasoline,355.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,22000
Volkswagen,XK8 Base,2000,96238,Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Beige,None reported,Yes,15400
Volkswagen,Transit-350 XL,2017,96000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,26500
Volkswagen,Enclave Premium,2014,96000,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,18900
Volkswagen,Cayenne AWD,2020,96000,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Red,None reported,Yes,56000
Volkswagen,Santa Fe SE,2007,96000,Gasoline,242.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,4200
Volkswagen,Mazda6 Signature,2021,96000,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Soul Red Crystal Metallic,Deep Chestnut,None reported,Yes,33687
Volkswagen,Model X Performance,2020,96000,,778.0HP Electric Motor Electric Fuel System,A/T,White,Beige,None reported,Yes,68969
Volkswagen,Wrangler Unlimited Sport,2016,96000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Beige,Black,None reported,Yes,27500
Volkswagen,4Runner Sport,2004,96000,Gasoline,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,8550
Volkswagen,Silverado 1500 2LT,2018,96000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,42950
Volkswagen,SLK-Class SLK320,2001,952,Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Beige,None reported,Yes,6500
Volkswagen,Rover Range Rover Autobiography,2023,95993,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Automatic,Carpathian Grey,Ebony,None reported,,193063
Volkswagen,C-Class C 300 4MATIC,2016,95816,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,17995
Volkswagen,SL-Class SL550 Roadster,2008,95798,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,34500
Volkswagen,Protege DX,1993,95570,–,–,A/T,Gray,–,At least 1 accident or damage reported,Yes,2500
Volkswagen,Q60 3.0t Red Sport 400,2018,95500,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,White,None reported,Yes,32000
Volkswagen,Camaro Z28,2002,95500,Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,M/T,Silver,Black,At least 1 accident or damage reported,Yes,21000
Volkswagen,Q5 40 Premium,2022,95450,Hybrid,201.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,Silver,Brown,None reported,Yes,41500
Volkswagen,911 Carrera Cabriolet,1996,95428,–,–,Transmission w/Dual Shift Mode,Blue,Gray,,,75000
Volkswagen,Passat 2.5 SE,2012,95426,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,9750
Volkswagen,Impreza WRX,2005,95400,Gasoline,227.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,None reported,Yes,12499
Volkswagen,Trailblazer SS,2008,95271,Gasoline,390.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,17000
Volkswagen,GX 460 Base,2012,95212,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,19470
Volkswagen,Model S 100D,2018,95200,,518.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,41000
Volkswagen,535 i xDrive,2011,95170,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,12000
Toyota,530 i xDrive,2021,95115,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacier Silver Metallic,Black,None reported,Yes,32085
Toyota,4Runner Venture,2021,95070,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,48500
Toyota,X5 M Base,2013,95000,Gasoline,555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,24500
Toyota,Q5 2.0T Premium Plus,2019,95000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,–,None reported,Yes,31000
Toyota,S5 3.0T Prestige,2013,95000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,26000
Toyota,GT-R Premium,2013,95000,Gasoline,545.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,59000
Toyota,Model 3 Long Range,2020,95000,,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,Blue,Black,None reported,Yes,49995
Toyota,Camry Solara SLE V6,2000,95000,Gasoline,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,2500
Toyota,Model Y Long Range,2021,95000,,Electric,1-Speed Automatic,Deep Blue Metallic,Black,None reported,,37999
Toyota,Cascada Base,2016,95000,Gasoline,200.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,14995
Toyota,CX-5 Grand Touring,2021,940,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Machine Gray Metallic,Black,,,28991
Toyota,330 i xDrive,2017,94653,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,20000
Toyota,Transit-250 Base,2016,94650,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,27000
Toyota,Charger Base,2006,94634,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,4500
Toyota,GL-Class GL 450 4MATIC,2013,94500,Gasoline,362.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,22800
Toyota,Model Y Performance,2020,94500,,455.0HP Electric Motor Electric Fuel System,A/T,Gray,White,None reported,Yes,44000
Toyota,X5 xDrive 35i Sport Activity,2012,94500,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,12900
Toyota,4Runner TRD Sport,2023,94448,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,46000
Toyota,RAV4 SE,2016,94300,Gasoline,176.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Orange,None reported,Yes,18500
Toyota,F-150 Platinum,2015,94291,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,31000
Toyota,GLA 250 Base 4MATIC,2019,94200,Gasoline,2.0 Liter Turbo,Automatic,White,Black,None reported,,25498
Toyota,Altima 2.5 S,2020,94155,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,21000
Toyota,Escalade Luxury,2018,94100,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Beige,None reported,Yes,49999
Toyota,Golf Alltrack TSI SE,2018,94100,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,20900
Toyota,MX-5 Miata Base,1999,94000,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,At least 1 accident or damage reported,Yes,9000
Toyota,Tundra SR5 Double Cab,2005,94000,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,8500
Toyota,2500 Powerwagon,2013,94000,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,26500
Toyota,S-Class S 550 4MATIC,2016,94000,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,41999
Toyota,Passat 2.0T R-Line,2021,94000,Gasoline,2.0 Liter TSI,Automatic,Reflex Silver,Titan Black,None reported,,25998
Toyota,Tundra Platinum,2018,94000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,51000
Toyota,Camaro 1SS,2017,93971,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,37000
Toyota,Camry XLE,2007,93500,Gasoline,158.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,7450
Toyota,335 i,2011,93500,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,13599
Toyota,F-250 Lariat,2015,93400,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,45000
Toyota,325 i,2005,93400,Gasoline,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,5000
Toyota,Huracan LP610-4,2015,93400,Gasoline,602.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Red,None reported,Yes,185500
Toyota,Mustang Shelby GT500,2010,93009,Gasoline,540.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,38000
Toyota,Sierra 2500 Denali,2021,93000,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,73000
Toyota,Tahoe LS,2005,93000,Gasoline,285.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,9000
Toyota,SL-Class SL 550,2013,93000,Gasoline,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,26900
Toyota,Escape PHEV SE,2022,93000,Plug-In Hybrid,221.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,CVT Transmission,White,Gray,None reported,Yes,32850
Toyota,Charger GT,2018,93000,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,White Knuckle Clearcoat,Black,None reported,Yes,26691
Toyota,F-150 XLT,2016,93000,E85 Flex Fuel,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,–,At least 1 accident or damage reported,Yes,24350
Toyota,NX 200t Base,2016,93000,Gasoline,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,At least 1 accident or damage reported,Yes,22495
Toyota,XT5 Base,2019,93000,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,26000
Toyota,Impreza WRX,2008,923,Gasoline,224.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,14500
Toyota,Romeo Giulia Quadrifoglio,2018,92984,Gasoline,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,,,41500
Toyota,Canyon Denali,2019,92861,Gasoline,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,36750
Toyota,Elantra HEV Limited,2021,92813,Hybrid,139.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,Black,None reported,Yes,23999
Toyota,Escape SEL,2020,92800,Gasoline,181.0HP 1.5L 3 Cylinder Engine Gasoline Fuel,A/T,White,Beige,,,19000
Toyota,Grand Caravan SE,2018,92800,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,35000
Toyota,Tahoe LTZ,2015,92728,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,37000
Toyota,Taurus SHO,2011,92700,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,4700
Toyota,Mustang GT,2018,92671,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,29950
Toyota,Murano SV,2020,92530,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,Brilliant Silver Metallic,Graphite,None reported,Yes,23625
Toyota,C-Class C 300,2017,92500,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,21000
Toyota,tC Anniversary Edition,2014,92421,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,10998
Toyota,Corvette Stingray w/2LT,2020,92225,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Orange,Black,At least 1 accident or damage reported,Yes,79900
Toyota,Q8 3.0T Premium,2019,92203,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,–,None reported,Yes,44870
Toyota,F-150 Lariat,2022,92149,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,53500
Toyota,Optima SX Turbo,2017,92080,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Remington Red Metallic,Black,At least 1 accident or damage reported,,17238
Toyota,Matrix XR,2004,92040,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,4000
Toyota,A6 55 Premium,2019,92031,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,Black,Black,None reported,Yes,42500
Toyota,Explorer XLT,2020,92008,Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,21000
Toyota,S6 4.0T Prestige,2013,92000,Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,,,27450
Toyota,335 i xDrive,2013,92000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,19999
